protocol,ether_src_mac,ether_dst_mac,ip_src,ip_dst,ip_len,ip_flags_df,ip_flags_mf,ip_frag_offset,ip_id,ip_ttl,ip_proto,ip_checksum,tcp_window_size,tcp_ack,tcp_seq,tcp_len,tcp_stream,tcp_urgent_pointer,tcp_flags,tcp_analysis_ack_rtt,tcp_analysis_push_bytes_sent,tcp_analysis_bytes_in_flight,frame_time_relative,frame_time_delta,modbus_length,modbus_unit_id,modbus_func_code,modbus_data,attack_specific,attack_category,attack_obj,attack_binary
MODBUS,3a:28:b4:02:e8:91,d6:a4:f0:6f:d6:c6,192.168.0.21,192.168.0.14,64,1,0,0,0xb5a3,64,6,0x03a1,502,181,181,12,1,0,0x0018,N/A,12,12,15.145451729,0.042434481,N/A,N/A,5,00000000,N/A,N/A,N/A,0
MODBUS,d6:a4:f0:6f:d6:c6,3a:28:b4:02:e8:91,192.168.0.14,192.168.0.21,64,1,0,0,0x10cc,64,6,0xa878,509,193,181,12,1,0,0x0018,0.000716591,12,12,15.146168320,0.000716591,N/A,N/A,5,00000000,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,d6:a4:f0:6f:d6:c6,192.168.0.21,192.168.0.14,52,1,0,0,0xb5a4,64,6,0x03ac,502,193,193,0,1,0,0x0010,0.000017052,N/A,N/A,15.146185372,0.000017052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,64,1,0,0,0xee74,64,6,0xcad0,502,331,361,12,2,0,0x0018,N/A,12,12,15.183564021,0.037378649,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,4e:d1:fa:b3:e4:46,3a:28:b4:02:e8:91,192.168.0.13,192.168.0.21,63,1,0,0,0xe598,64,6,0xd3ad,509,373,331,11,2,0,0x0018,0.000614772,11,11,15.184178793,0.000614772,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,4e:d1:fa:b3:e4:46,192.168.0.21,192.168.0.13,52,1,0,0,0xee75,64,6,0xcadb,502,342,373,0,2,0,0x0010,0.000021570,N/A,N/A,15.184200363,0.000021570,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf094,64,6,0xc8b1,502,837,913,12,0,0,0x0018,N/A,12,12,15.303598993,0.119398630,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
MODBUS,2a:5a:cb:7a:8e:57,3a:28:b4:02:e8:91,192.168.0.12,192.168.0.21,63,1,0,0,0xa698,64,6,0x12af,509,925,837,11,0,0,0x0018,0.000471596,11,11,15.304070589,0.000471596,N/A,N/A,4,020079,N/A,N/A,N/A,0
TCP,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,52,1,0,0,0xf095,64,6,0xc8bc,502,848,925,0,0,0,0x0010,0.000018635,N/A,N/A,15.304089224,0.000018635,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MODBUS,3a:28:b4:02:e8:91,2a:5a:cb:7a:8e:57,192.168.0.21,192.168.0.12,64,1,0,0,0xf096,64,6,0xc8af,502,848,925,12,0,0,0x0018,N/A,12,12,15.504626707,0.200537483,N/A,N/A,4,001e0001,N/A,N/A,N/A,0
